review_id,date,customer_plan,company_size,rating,category,title,review_text
R188,2025-12-05,Pro,55,4,Praise,Gantt chart was worth the wait,"Been asking for Gantt for over a year. The implementation is clean and fast. Just need dependencies and it's perfect."
R189,2025-12-05,Enterprise,165,2,Bug Report,Notification preferences reset after migration,"The January notification migration reset all our users' notification preferences to defaults. 165 people had to reconfigure."
R190,2025-12-05,Pro,42,3,Feature Request,Need task dependencies outside of Gantt,"Task dependencies should exist as a core feature not just a Gantt visualization thing. Block/unblock should work in list and board views too."
R191,2025-12-04,Core,25,4,Praise,Importing from Trello was painless,"Used the import tool to bring over 500 cards from Trello. Everything came through perfectly."
R192,2025-12-04,Pro,60,2,Bug Report,Mobile app can't create tasks offline,"Tried to create a new task while offline and got an error. Editing works offline but creation doesn't."
R193,2025-12-04,Enterprise,150,3,Feature Request,Need compliance reporting templates,"We need SOC 2 and ISO 27001 report templates for audit logs. Currently exporting raw data and formatting manually."
R194,2025-12-03,Pro,50,1,Complaint,Performance problems ignored for months,"Submitted my first performance complaint in September. It's December and nothing has improved. Lost all trust."
R195,2025-12-03,Core,15,5,Praise,Simple and it stays simple,"6 months and you haven't bloated the Core plan with unnecessary features. Thank you for keeping it focused."
R196,2025-12-03,Pro,55,3,Feature Request,AI needs to learn from our corrections,"When I override an AI suggestion it should learn from that. Same wrong suggestion keeps coming back."
R197,2025-12-02,Enterprise,185,2,Bug Report,Duplicate notifications on @mentions,"Get 2 email notifications every time someone @mentions me in a comment. One is enough."
R198,2025-12-02,Pro,45,4,Praise,Best Kanban implementation,"Tried 6 different tools. CloudTask has the smoothest most intuitive Kanban board by far."
R199,2025-12-01,Core,20,3,Support Issue,Need better onboarding docs for teams,"The getting started guide is for individuals. Need a team admin setup guide covering workspaces permissions and invites."
R200,2025-12-01,Enterprise,175,2,Complaint,We expect more at Enterprise pricing,"$30/user/month should mean premium performance premium support and premium features. Right now we get premium pricing with Pro-level experience."
